v_1, v_2, v_3, v_4, v_5, v_6, v_7, v_8, v_9, v_10, v_11, v_12, v_13, v_14, v_15, v_16, v_17, v_18, v_19, v_20, v_21, v_22, v_23, v_24, v_25, v_26, v_27, v_28, v_29, v_30, 
-0.203499, -0.228719, 0.182031, 0.223001, 0.0173576, 0.238502, 0.132321, -0.0354047, -0.0897392, -0.0275501, 0.235786, -0.0461802, -0.0422943, -0.403596, -0.171521, 0.233488, 0.299119, -0.0785403, 0.0123442, 0.156982, 0.0268861, -0.0558824, -0.114557, 0.147604, 0.383013, 0.00277867, -0.278564, 0.0785482, -0.0375647, -0.203152, 
0.238089, -0.181615, 0.230063, 0.058306, -0.106996, -0.045355, 0.106424, -0.169809, -0.153536, 0.0755211, -0.141577, -0.226938, -0.234064, -0.183461, 0.258463, -0.165601, -0.154784, -0.181883, -0.113442, 0.124634, -0.133424, -0.520112, 0.0556162, -0.104702, -0.0255011, 0.200324, 0.226842, 0.142282, -0.0228186, -0.126236, 
0.29014, 0.0363235, -0.331418, 0.017553, 0.00120853, 0.0753073, -0.123703, 0.0154075, -0.0108809, -0.235452, 0.161473, -0.143506, -0.299694, -0.177265, 0.140339, 0.0407127, -0.0752735, 0.324916, 0.054818, 0.0527658, -0.282528, 0.15024, 0.427932, -0.00523073, 0.0607906, 0.132792, -0.221689, -0.189541, -0.0489907, -0.163683, 
0.17531, -0.0622782, -0.11799, -0.139195, -0.145331, 0.261509, -0.122227, -0.135305, -0.117316, -0.276348, -0.319606, 0.374459, 0.144565, 0.0322457, 0.0958424, -0.0841397, 0.0466861, -0.12105, -0.0951586, 0.210975, 0.141382, -0.104798, -0.122978, -0.352837, 0.0269215, -0.178298, -0.332007, -0.11142, -0.148231, -0.143337, 
0.213866, 0.0386402, 0.259762, 0.0711855, 0.255203, 0.211729, -0.119035, 0.0200588, -0.0839421, -0.294671, -0.043438, -0.0899372, -0.19791, 0.207404, -0.00682187, 0.376792, 0.210417, 0.096947, -0.19073, -0.231377, 0.144521, -0.0431967, -0.204407, 0.065192, -0.188811, 0.0366167, 0.261476, -0.274672, -0.036708, -0.181804, 
-0.0700382, 0.162114, -0.349893, -0.0547473, -0.107742, 0.060625, 0.121739, 0.184699, -0.19194, -0.172157, -0.10962, -0.325798, 0.344884, 0.058385, -0.208847, 0.0522163, -0.158811, -0.165417, -0.224948, -0.10933, -0.12416, -0.261246, -0.0455205, 0.148456, 0.152146, 0.0287224, -0.0196687, -0.170311, 0.34756, -0.169606, 
0.0639907, -0.269352, 0.0333144, 0.0643654, 0.0156544, 0.119174, -0.29254, 0.35053, 0.0996973, 0.116025, -0.019132, -0.450623, 0.0567504, -0.0752143, -0.223296, -0.110542, -0.0470019, 0.0715156, 0.0549554, -0.107693, 0.0866068, 0.0116505, 0.00757342, -0.325023, -0.230588, -0.343046, -0.0938469, 0.221775, -0.0545843, -0.175558, 
0.269495, -0.0167, 0.28537, -0.0841448, -0.213862, 0.110788, 0.0519749, 0.0890517, 0.214683, 0.176114, -0.029221, 0.172578, 0.0976739, 0.319869, -0.274833, -0.117602, 0.106964, 0.0792521, 0.0266656, -0.22891, -0.226822, -0.0994405, 0.26197, 0.0256891, 0.43868, -0.0309717, 0.088279, -0.0547712, -0.153848, -0.176425, 
-0.208006, -0.211655, 0.107799, 0.0420551, 0.304576, -0.189394, 0.105829, -0.0862832, -0.157443, -0.0330353, 0.125865, 0.0899877, 0.0578786, 0.226713, 0.359832, 0.0719592, -0.03003, -0.0141376, -0.167969, -0.252865, -0.428486, 0.0344527, 0.0417706, -0.199877, 0.0671347, -0.337339, -0.169258, 0.0675113, 0.149806, -0.134582, 
-0.094577, 0.223059, 0.192168, 0.130277, 0.101155, -0.112118, -0.0777672, -0.381219, -0.187244, -0.098379, -0.141223, -0.295201, 0.0512088, 0.24489, -0.184574, -0.0447867, -0.365354, 0.0650992, 0.234549, 0.193132, -0.0523119, 0.147505, -0.115471, 0.122055, 0.10741, -0.0612518, -0.115954, 0.0278632, -0.330841, -0.203736, 
0.149564, -0.0508302, 0.101449, -0.339049, 0.206265, -0.214089, 0.0252905, 0.159235, -0.10179, 0.473005, 0.0192546, 0.052123, 0.171135, -0.15671, -0.0194352, 0.111415, -0.057347, 0.252498, 0.00656078, 0.254978, -0.10196, -0.0411472, -0.262389, -0.0331471, -0.0736702, 0.106253, -0.112821, -0.384404, -0.00628685, -0.199737, 
0.0332479, -0.318139, -0.204364, 0.167536, -0.260924, 0.00349157, 0.1903, -0.0614013, 0.00115988, 0.0258026, 0.118518, -0.0183074, -0.0653072, 0.272873, -0.127345, -0.149469, 0.0281507, 0.152393, -0.379074, 0.15328, -0.111396, 0.360671, -0.333895, -0.107902, -0.0624226, 0.284147, 0.104397, 0.11339, -0.0258774, -0.14697, 
-0.16843, 0.0219592, -0.139451, 0.327702, 0.151915, -0.0208425, 0.338572, 0.287108, -0.0384503, 0.0928957, -0.183648, 0.266518, -0.180028, 0.0857703, -0.219503, 0.128725, -0.0707544, -0.177785, 0.0372588, 0.259535, -0.0355176, -0.0539301, 0.322114, -0.0390705, -0.259142, -0.111685, 0.126873, -0.102971, -0.16607, -0.236742, 
-0.0523558, -0.133211, -0.328813, -0.310409, 0.0349989, -0.104768, -0.0656995, -0.170581, -0.323394, 0.0601642, 0.151133, 0.109667, -0.159923, 0.178594, -0.209544, -0.0498207, 0.272493, 0.00305028, 0.287181, -0.235141, 0.0439198, -0.273301, -0.0101987, 0.143231, -0.195048, 0.100106, -0.0635094, 0.245249, -0.102884, -0.22466, 
