eigenValues,
-4.45203,
-3.95251,
-3.87283,
-3.35318,
-2.90653,
-2.72941,
-2.54226,
-2.29748,
-2.10633,
-1.57826,
-0.898343,
-0.762563,
-0.242702,
0.107201,
0.300728,
0.798578,
1.0288,
1.28004,
1.74594,
2.07737,
2.13039,
2.73089,
3.25533,
3.81538,
12.4237,
