eigenValues,
-5.20372,
-5.13004,
-4.37893,
-3.80282,
-3.60684,
-3.30933,
-2.88919,
-2.63294,
-2.23939,
-1.82664,
-1.71605,
-1.56335,
-1.10031,
-0.910367,
-0.587437,
-0.161008,
-0.00994009,
0.701801,
0.762662,
1.06388,
1.27783,
1.79119,
1.83655,
2.33862,
2.51491,
2.99146,
3.0325,
3.67256,
4.26841,
14.8159,
