eigenValues,
-3.39184,
-2.96484,
-2.50368,
-2.15024,
-1.86278,
-1.58508,
-0.847602,
-0.212259,
0.387866,
0.718138,
0.893165,
1.48968,
2.45818,
2.49033,
7.08095,
