eigenValues,
-4.58282,
-3.62465,
-3.32624,
-2.76625,
-2.10619,
-1.58849,
-1.41225,
-1.04682,
-0.686169,
-0.555338,
-0.197273,
-0.116521,
0.426064,
0.822206,
1.16637,
1.76484,
1.95702,
2.55068,
3.35496,
9.96685,
